"filename", "language", "Python", "XML", "JSON", "SQL", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\content-based-recommendation.iml", "XML", 0, 8, 0, 0, 0, 0, 8
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\dataSources.xml", "XML", 0, 12, 0, 0, 0, 0, 12
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 29, 0, 0, 0, 0, 29
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\misc.xml", "XML", 0, 4, 0, 0, 0, 0, 4
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 8
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\other.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\algrithom\RecommendSystem.py", "Python", 331, 0, 0, 0, 129, 74, 534
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\algrithom\cache.py", "Python", 30, 0, 0, 0, 6, 2, 38
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\algrithom\constant.py", "Python", 32, 0, 0, 0, 6, 4, 42
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\spiderRoot\database\room.sql", "SQL", 0, 0, 0, 129797, 33, 75, 129905
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\spiderRoot\spider\anjuke.py", "Python", 321, 0, 0, 0, 69, 33, 423
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\spiderRoot\spider\city.py", "Python", 11, 0, 0, 0, 0, 2, 13
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\spiderRoot\spider\room.py", "Python", 86, 0, 0, 0, 1, 4, 91
"d:\vscode\test\Apartment-Recommend-System\spiderAndAlgrithom\spiderRoot\spider\武汉.json", "JSON", 0, 0, 233, 0, 0, 0, 233
"Total", "-", 811, 79, 233, 129797, 244, 194, 131358
