"filename", "language", "Java", "XML", "YAML", "Batch", "Properties", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "HTML", "CSS", "JSON", "vue", "TypeScript React", "SCSS", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\admin-v1\.VSCodeCounter\2023-04-12_16-10-51\details.md", "Markdown", 0, 0, 0, 0, 0, -136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -142
"d:\vscode\test\Apartment-Recommend-System\admin-v1\.VSCodeCounter\2023-04-12_16-10-51\diff-details.md", "Markdown", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -15
"d:\vscode\test\Apartment-Recommend-System\admin-v1\.VSCodeCounter\2023-04-12_16-10-51\diff.md", "Markdown", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -19
"d:\vscode\test\Apartment-Recommend-System\admin-v1\.VSCodeCounter\2023-04-12_16-10-51\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\vscode\test\Apartment-Recommend-System\admin-v1\.VSCodeCounter\2023-04-12_16-10-51\results.md", "Markdown", 0, 0, 0, 0, 0, -100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -107
"d:\vscode\test\Apartment-Recommend-System\admin-v1\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -78, 0, 0, 0, 0, 0, 0, -7, -1, -86
"d:\vscode\test\Apartment-Recommend-System\admin-v1\.github\workflows\deploy.yml", "YAML", 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -36
"d:\vscode\test\Apartment-Recommend-System\admin-v1\README.md", "Markdown", 0, 0, 0, 0, 0, -114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -47, -161
"d:\vscode\test\Apartment-Recommend-System\admin-v1\README.zh-CN.md", "Markdown", 0, 0, 0, 0, 0, -114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -47, -161
"d:\vscode\test\Apartment-Recommend-System\admin-v1\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -1, -17
"d:\vscode\test\Apartment-Recommend-System\admin-v1\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106, 0, 0, 0, 0, -1, -107
"d:\vscode\test\Apartment-Recommend-System\admin-v1\pnpm-lock.yaml", "YAML", 0, 0, -4580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -706, -5286
"d:\vscode\test\Apartment-Recommend-System\admin-v1\prettier.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, -10, -1, -22
"d:\vscode\test\Apartment-Recommend-System\admin-v1\public\app-loading.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -59, 0, 0, 0, 0, 0, -7, -66
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, 0, -5, -35
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\api\config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -1, -4, -11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\api\login\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, -3, -4, -28
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\api\login\types\login.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -3, -4, -15
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\api\request.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, -7, -25
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\assets\error-page\403.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\assets\error-page\404.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\Notify\NotifyList.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -57, 0, 0, 0, -4, -61
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\Notify\data.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -63, 0, 0, 0, 0, 0, 0, 0, 0, -4, -67
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\Notify\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -93, 0, 0, 0, -7, -100
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\Screenfull\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -57, 0, 0, 0, -9, -66
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\SvgIcon\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, -5, -32
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\ThemeSwitch\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, 0, -4, -35
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\config\async-route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -10, -3, -22
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\config\layout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, -10, -3, -36
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\config\white-list.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -2, -5
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\constants\cacheKey.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, -1, -3, -11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\directives\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -1, -2, -8
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\directives\permission\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, -1, -2, -22
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\hooks\useFetchSelect.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, -4, -10, -54
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\hooks\useFullscreenLoading.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -47, 0, 0, 0, 0, 0, 0, 0, -12, -5, -64
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\hooks\usePagination.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, -4, -8, -44
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\hooks\useState.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -10, -19
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\hooks\useTheme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, -5, -10, -55
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -2, -8
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\404.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\bug.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\component.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\dashboard.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\fullscreen-exit.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
