Date : 2023-04-21 11:15:33
Directory : d:\vscode\test\Apartment-Recommend-System\frontend
Total : 198 files,  -114650 codes, -23 comments, 1090 blanks, all -113583 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |         86 |     11,524 |         21 |        729 |     12,274 |
| TypeScript         |         60 |      2,093 |        159 |        351 |      2,603 |
| Markdown           |         20 |      1,690 |          0 |        130 |      1,820 |
| JSON               |         12 |        634 |          9 |         38 |        681 |
| SCSS               |          1 |         38 |         25 |         13 |         76 |
| Less               |          2 |         28 |          1 |         21 |         50 |
| HTML               |          1 |         18 |          2 |          1 |         21 |
| JSON with Comments |          1 |         12 |          4 |          1 |         17 |
| XML                |          8 |        -79 |          0 |          0 |        -79 |
| Python             |          6 |       -811 |       -211 |       -119 |     -1,141 |
| SQL                |          1 |   -129,797 |        -33 |        -75 |   -129,905 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        198 |   -114,650 |        -23 |      1,090 |   -113,583 |
| . (Files)                                                                                                   |          4 |        137 |          8 |          6 |        151 |
| ..                                                                                                          |         16 |   -130,920 |       -244 |       -194 |   -131,358 |
| ..\spiderAndAlgrithom                                                                                       |         16 |   -130,920 |       -244 |       -194 |   -131,358 |
| ..\spiderAndAlgrithom\.idea                                                                                 |          8 |        -79 |          0 |          0 |        -79 |
| ..\spiderAndAlgrithom\.idea (Files)                                                                         |          6 |        -44 |          0 |          0 |        -44 |
| ..\spiderAndAlgrithom\.idea\inspectionProfiles                                                              |          2 |        -35 |          0 |          0 |        -35 |
| ..\spiderAndAlgrithom\algrithom                                                                             |          3 |       -393 |       -141 |        -80 |       -614 |
| ..\spiderAndAlgrithom\spiderRoot                                                                            |          5 |   -130,448 |       -103 |       -114 |   -130,665 |
| ..\spiderAndAlgrithom\spiderRoot\database                                                                   |          1 |   -129,797 |        -33 |        -75 |   -129,905 |
| ..\spiderAndAlgrithom\spiderRoot\spider                                                                     |          4 |       -651 |        -70 |        -39 |       -760 |
| .VSCodeCounter                                                                                              |         25 |      1,695 |          0 |        130 |      1,825 |
| .VSCodeCounter\2023-03-22_17-19-03                                                                          |          5 |        262 |          0 |         26 |        288 |
| .VSCodeCounter\2023-03-23_15-55-06                                                                          |          5 |        262 |          0 |         26 |        288 |
| .VSCodeCounter\2023-03-31_15-51-55                                                                          |          5 |        287 |          0 |         26 |        313 |
| .VSCodeCounter\2023-04-04_12-10-23                                                                          |          5 |        242 |          0 |         26 |        268 |
| .VSCodeCounter\2023-04-04_16-15-12                                                                          |          5 |        642 |          0 |         26 |        668 |
| src                                                                                                         |        153 |     14,438 |        213 |      1,148 |     15,799 |
| src (Files)                                                                                                 |         10 |        586 |         39 |         91 |        716 |
| src\api                                                                                                     |          3 |        127 |          3 |         19 |        149 |
| src\components                                                                                              |         43 |      3,690 |          4 |        247 |      3,941 |
| src\components (Files)                                                                                      |          1 |         68 |          0 |          1 |         69 |
| src\components\Appointment                                                                                  |          3 |        376 |          0 |         27 |        403 |
| src\components\FilterBar                                                                                    |          8 |        827 |          0 |         41 |        868 |
| src\components\House                                                                                        |          4 |        279 |          0 |         18 |        297 |
| src\components\HouseService                                                                                 |          4 |        759 |          0 |         78 |        837 |
| src\components\Navigation                                                                                   |         10 |        450 |          0 |         21 |        471 |
| src\components\case                                                                                         |          1 |         53 |          0 |          1 |         54 |
| src\components\public                                                                                       |          9 |        527 |          0 |         42 |        569 |
| src\components\user                                                                                         |          3 |        351 |          4 |         18 |        373 |
| src\constant                                                                                                |          2 |         45 |         18 |         15 |         78 |
| src\data                                                                                                    |          3 |        362 |          0 |          0 |        362 |
| src\hooks                                                                                                   |         10 |        172 |          6 |         38 |        216 |
| src\hooks (Files)                                                                                           |          8 |        131 |          6 |         36 |        173 |
| src\hooks\component                                                                                         |          2 |         41 |          0 |          2 |         43 |
| src\pages                                                                                                   |         42 |      7,805 |         17 |        472 |      8,294 |
| src\pages (Files)                                                                                           |         15 |      2,250 |          1 |        121 |      2,372 |
| src\pages\Appointment                                                                                       |          2 |        418 |          0 |         17 |        435 |
| src\pages\HouseSearch                                                                                       |          1 |        283 |          0 |         16 |        299 |
| src\pages\Rent                                                                                              |          1 |        367 |          0 |         15 |        382 |
| src\pages\Tenantpages                                                                                       |          2 |        587 |          0 |         57 |        644 |
| src\pages\booking                                                                                           |          2 |        625 |          0 |         24 |        649 |
| src\pages\houseOrder                                                                                        |          2 |        390 |          0 |         36 |        426 |
| src\pages\index                                                                                             |          1 |         36 |          0 |          5 |         41 |
| src\pages\map                                                                                               |          1 |         82 |          0 |          2 |         84 |
