"filename", "language", "Less", "TypeScript", "SCSS", "JSON", "vue", "comment", "blank", "total"
"d:\vscode\graDes\housing-recommend-system\src\App.vue", "vue", 0, 0, 0, 0, 27, 0, 6, 33
"d:\vscode\graDes\housing-recommend-system\src\api\config.ts", "TypeScript", 0, 10, 0, 0, 0, 1, 2, 13
"d:\vscode\graDes\housing-recommend-system\src\api\login.ts", "TypeScript", 0, 40, 0, 0, 0, 2, 5, 47
"d:\vscode\graDes\housing-recommend-system\src\api\request.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 11, 84
"d:\vscode\graDes\housing-recommend-system\src\app.less", "Less", 11, 0, 0, 0, 0, 0, 0, 11
"d:\vscode\graDes\housing-recommend-system\src\components\Appointment\AppointmentBill.vue", "vue", 0, 0, 0, 0, 51, 0, 3, 54
"d:\vscode\graDes\housing-recommend-system\src\components\Appointment\AppointmentDetail.vue", "vue", 0, 0, 0, 0, 161, 0, 12, 173
"d:\vscode\graDes\housing-recommend-system\src\components\Appointment\AppointmentHistory.vue", "vue", 0, 0, 0, 0, 162, 0, 12, 174
"d:\vscode\graDes\housing-recommend-system\src\components\FilterBar\Direction.vue", "vue", 0, 0, 0, 0, 60, 0, 1, 61
"d:\vscode\graDes\housing-recommend-system\src\components\FilterBar\FilterBar.vue", "vue", 0, 0, 0, 0, 118, 0, 5, 123
"d:\vscode\graDes\housing-recommend-system\src\components\FilterBar\House.vue", "vue", 0, 0, 0, 0, 106, 0, 4, 110
"d:\vscode\graDes\housing-recommend-system\src\components\FilterBar\Location.vue", "vue", 0, 0, 0, 0, 208, 0, 18, 226
"d:\vscode\graDes\housing-recommend-system\src\components\FilterBar\More.vue", "vue", 0, 0, 0, 0, 124, 0, 5, 129
"d:\vscode\graDes\housing-recommend-system\src\components\FilterBar\Rent.vue", "vue", 0, 0, 0, 0, 75, 0, 2, 77
"d:\vscode\graDes\housing-recommend-system\src\components\FilterBar\Sort.vue", "vue", 0, 0, 0, 0, 64, 0, 2, 66
"d:\vscode\graDes\housing-recommend-system\src\components\FilterBar\SubmitBar.vue", "vue", 0, 0, 0, 0, 65, 0, 3, 68
"d:\vscode\graDes\housing-recommend-system\src\components\HouseService\HousingService.vue", "vue", 0, 0, 0, 0, 125, 0, 4, 129
"d:\vscode\graDes\housing-recommend-system\src\components\HouseService\OrderServiceDetail.vue", "vue", 0, 0, 0, 0, 204, 0, 29, 233
"d:\vscode\graDes\housing-recommend-system\src\components\HouseService\orderService.vue", "vue", 0, 0, 0, 0, 220, 0, 18, 238
"d:\vscode\graDes\housing-recommend-system\src\components\House\HouseBillDetail.vue", "vue", 0, 0, 0, 0, 22, 0, 4, 26
"d:\vscode\graDes\housing-recommend-system\src\components\House\HouseCollection.vue", "vue", 0, 0, 0, 0, 51, 0, 4, 55
"d:\vscode\graDes\housing-recommend-system\src\components\House\HouseHistory.vue", "vue", 0, 0, 0, 0, 50, 0, 4, 54
"d:\vscode\graDes\housing-recommend-system\src\components\House\HousePost.vue", "vue", 0, 0, 0, 0, 135, 0, 5, 140
"d:\vscode\graDes\housing-recommend-system\src\components\Navigation\Appointment.vue", "vue", 0, 0, 0, 0, 34, 0, 2, 36
"d:\vscode\graDes\housing-recommend-system\src\components\Navigation\AppointmentDetail.vue", "vue", 0, 0, 0, 0, 41, 0, 1, 42
"d:\vscode\graDes\housing-recommend-system\src\components\Navigation\AppointmentPage.vue", "vue", 0, 0, 0, 0, 41, 0, 1, 42
"d:\vscode\graDes\housing-recommend-system\src\components\Navigation\Community.vue", "vue", 0, 0, 0, 0, 34, 0, 2, 36
"d:\vscode\graDes\housing-recommend-system\src\components\Navigation\Home.vue", "vue", 0, 0, 0, 0, 73, 0, 5, 78
"d:\vscode\graDes\housing-recommend-system\src\components\Navigation\NavigationBar.vue", "vue", 0, 0, 0, 0, 60, 0, 5, 65
"d:\vscode\graDes\housing-recommend-system\src\components\Navigation\OrderDetail.vue", "vue", 0, 0, 0, 0, 41, 0, 1, 42
"d:\vscode\graDes\housing-recommend-system\src\components\Navigation\UserInfo.vue", "vue", 0, 0, 0, 0, 46, 0, 1, 47
"d:\vscode\graDes\housing-recommend-system\src\components\Navigation\service.vue", "vue", 0, 0, 0, 0, 46, 0, 1, 47
"d:\vscode\graDes\housing-recommend-system\src\components\public\IconBtn.vue", "vue", 0, 0, 0, 0, 47, 0, 4, 51
"d:\vscode\graDes\housing-recommend-system\src\components\public\Input.vue", "vue", 0, 0, 0, 0, 72, 0, 3, 75
"d:\vscode\graDes\housing-recommend-system\src\components\public\Notis.vue", "vue", 0, 0, 0, 0, 74, 0, 8, 82
"d:\vscode\graDes\housing-recommend-system\src\components\public\SafeBottom.vue", "vue", 0, 0, 0, 0, 7, 0, 3, 10
"d:\vscode\graDes\housing-recommend-system\src\components\public\StatusBar.vue", "vue", 0, 0, 0, 0, 13, 0, 4, 17
"d:\vscode\graDes\housing-recommend-system\src\components\public\SwiperList.vue", "vue", 0, 0, 0, 0, 166, 0, 6, 172
"d:\vscode\graDes\housing-recommend-system\src\components\public\Tag.vue", "vue", 0, 0, 0, 0, 32, 0, 2, 34
"d:\vscode\graDes\housing-recommend-system\src\components\public\Tags.vue", "vue", 0, 0, 0, 0, 38, 0, 3, 41
"d:\vscode\graDes\housing-recommend-system\src\components\user\Friend.vue", "vue", 0, 0, 0, 0, 110, 0, 2, 112
"d:\vscode\graDes\housing-recommend-system\src\components\user\UserComment.vue", "vue", 0, 0, 0, 0, 80, 0, 2, 82
"d:\vscode\graDes\housing-recommend-system\src\components\user\UserPost.vue", "vue", 0, 0, 0, 0, 109, 0, 9, 118
"d:\vscode\graDes\housing-recommend-system\src\constant\chat.ts", "TypeScript", 0, 10, 0, 0, 0, 15, 7, 32
"d:\vscode\graDes\housing-recommend-system\src\constant\publish.ts", "TypeScript", 0, 35, 0, 0, 0, 3, 8, 46
"d:\vscode\graDes\housing-recommend-system\src\data\house.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 47
"d:\vscode\graDes\housing-recommend-system\src\data\wuhan.json", "JSON", 0, 0, 0, 233, 0, 0, 0, 233
"d:\vscode\graDes\housing-recommend-system\src\env.d.ts", "TypeScript", 0, 5, 0, 0, 0, 2, 2, 9
"d:\vscode\graDes\housing-recommend-system\src\hooks\component\useActionSheet.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 1, 16
"d:\vscode\graDes\housing-recommend-system\src\hooks\component\useMapState.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 1, 27
"d:\vscode\graDes\housing-recommend-system\src\hooks\useInteract.ts", "TypeScript", 0, 47, 0, 0, 0, 5, 7, 59
"d:\vscode\graDes\housing-recommend-system\src\hooks\useNavigation.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 2, 13
"d:\vscode\graDes\housing-recommend-system\src\hooks\usePage.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 1, 10
"d:\vscode\graDes\housing-recommend-system\src\hooks\usePicker.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 3, 16
"d:\vscode\graDes\housing-recommend-system\src\hooks\usePubSub.ts", "TypeScript", 0, 10, 0, 0, 0, 1, 11, 22
"d:\vscode\graDes\housing-recommend-system\src\hooks\useScroll.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 2, 22
"d:\vscode\graDes\housing-recommend-system\src\hooks\useState.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 10, 19
"d:\vscode\graDes\housing-recommend-system\src\main.ts", "TypeScript", 0, 20, 0, 0, 0, 2, 2, 24
"d:\vscode\graDes\housing-recommend-system\src\manifest.json", "JSON", 0, 0, 0, 72, 0, 8, 3, 83
"d:\vscode\graDes\housing-recommend-system\src\pages.json", "JSON", 0, 0, 0, 235, 0, 1, 15, 251
"d:\vscode\graDes\housing-recommend-system\src\pages\AppointmentDetail.vue", "vue", 0, 0, 0, 0, 255, 9, 4, 268
"d:\vscode\graDes\housing-recommend-system\src\pages\AppointmentPage.vue", "vue", 0, 0, 0, 0, 156, 0, 11, 167
"d:\vscode\graDes\housing-recommend-system\src\pages\Booking.vue", "vue", 0, 0, 0, 0, 50, 0, 2, 52
"d:\vscode\graDes\housing-recommend-system\src\pages\Collection.vue", "vue", 0, 0, 0, 0, 34, 0, 2, 36
"d:\vscode\graDes\housing-recommend-system\src\pages\History.vue", "vue", 0, 0, 0, 0, 52, 0, 2, 54
"d:\vscode\graDes\housing-recommend-system\src\pages\HouseDetail.vue", "vue", 0, 0, 0, 0, 461, 0, 21, 482
"d:\vscode\graDes\housing-recommend-system\src\pages\HouseSearch\Search.vue", "vue", 0, 0, 0, 0, 268, 0, 14, 282
"d:\vscode\graDes\housing-recommend-system\src\pages\Location.vue", "vue", 0, 0, 0, 0, 104, 0, 10, 114
"d:\vscode\graDes\housing-recommend-system\src\pages\PostDetail.vue", "vue", 0, 0, 0, 0, 224, 0, 11, 235
"d:\vscode\graDes\housing-recommend-system\src\pages\Search.vue", "vue", 0, 0, 0, 0, 147, 0, 12, 159
"d:\vscode\graDes\housing-recommend-system\src\pages\houseOrder\Order.vue", "vue", 0, 0, 0, 0, 57, 0, 3, 60
"d:\vscode\graDes\housing-recommend-system\src\pages\houseOrder\OrderDetail.vue", "vue", 0, 0, 0, 0, 269, 0, 28, 297
"d:\vscode\graDes\housing-recommend-system\src\pages\index\index.vue", "vue", 0, 0, 0, 0, 36, 0, 5, 41
"d:\vscode\graDes\housing-recommend-system\src\pages\map\community.vue", "vue", 0, 0, 0, 0, 82, 0, 2, 84
"d:\vscode\graDes\housing-recommend-system\src\pages\serviceDetail\serviceComment.vue", "vue", 0, 0, 0, 0, 139, 0, 5, 144
"d:\vscode\graDes\housing-recommend-system\src\pages\serviceDetail\serviceDetail.vue", "vue", 0, 0, 0, 0, 396, 0, 23, 419
"d:\vscode\graDes\housing-recommend-system\src\pages\serviceOrder\Order.vue", "vue", 0, 0, 0, 0, 54, 0, 2, 56
"d:\vscode\graDes\housing-recommend-system\src\pages\serviceOrder\OrderDetail.vue", "vue", 0, 0, 0, 0, 260, 0, 29, 289
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Appointment.vue", "vue", 0, 0, 0, 0, 160, 0, 11, 171
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Community.vue", "vue", 0, 0, 0, 0, 343, 4, 14, 361
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Home.vue", "vue", 0, 0, 0, 0, 217, 0, 19, 236
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Service.vue", "vue", 0, 0, 0, 0, 222, 11, 14, 247
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\UserInfo.vue", "vue", 0, 0, 0, 0, 232, 0, 12, 244
"d:\vscode\graDes\housing-recommend-system\src\pages\user\UserInfo.vue", "vue", 0, 0, 0, 0, 33, 0, 6, 39
"d:\vscode\graDes\housing-recommend-system\src\service\ClientService.ts", "TypeScript", 0, 48, 0, 0, 0, 1, 7, 56
"d:\vscode\graDes\housing-recommend-system\src\service\PostService.ts", "TypeScript", 0, 62, 0, 0, 0, 2, 8, 72
"d:\vscode\graDes\housing-recommend-system\src\service\RentInfoService.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 9, 42
"d:\vscode\graDes\housing-recommend-system\src\service\RoomBookingService.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 5, 33
"d:\vscode\graDes\housing-recommend-system\src\service\RoomService.ts", "TypeScript", 0, 42, 0, 0, 0, 1, 7, 50
"d:\vscode\graDes\housing-recommend-system\src\service\UserSerivce.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 6, 31
"d:\vscode\graDes\housing-recommend-system\src\service\index.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 1, 18
"d:\vscode\graDes\housing-recommend-system\src\shime-uni.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"d:\vscode\graDes\housing-recommend-system\src\store\Chat.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 8, 45
"d:\vscode\graDes\housing-recommend-system\src\store\Filter.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 6, 50
"d:\vscode\graDes\housing-recommend-system\src\store\HouseAppointment.ts", "TypeScript", 0, 36, 0, 0, 0, 1, 3, 40
"d:\vscode\graDes\housing-recommend-system\src\store\Notification.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 10, 45
"d:\vscode\graDes\housing-recommend-system\src\store\user.ts", "TypeScript", 0, 21, 0, 0, 0, 7, 9, 37
"d:\vscode\graDes\housing-recommend-system\src\types\Entity\Area.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 2, 10
"d:\vscode\graDes\housing-recommend-system\src\types\Entity\HouseInfo.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 1, 51
"d:\vscode\graDes\housing-recommend-system\src\types\Entity\HousingService.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 1, 8
"d:\vscode\graDes\housing-recommend-system\src\types\Entity\UserPost.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 6
"d:\vscode\graDes\housing-recommend-system\src\types\Icon.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 2, 20
"d:\vscode\graDes\housing-recommend-system\src\types\Notification.ts", "TypeScript", 0, 36, 0, 0, 0, 3, 5, 44
"d:\vscode\graDes\housing-recommend-system\src\types\PublicCompType.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 3, 8
"d:\vscode\graDes\housing-recommend-system\src\types\Room.ts", "TypeScript", 0, 89, 0, 0, 0, 1, 5, 95
"d:\vscode\graDes\housing-recommend-system\src\types\Service.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 5, 58
"d:\vscode\graDes\housing-recommend-system\src\types\chat.ts", "TypeScript", 0, 23, 0, 0, 0, 3, 4, 30
"d:\vscode\graDes\housing-recommend-system\src\types\post.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 4, 43
"d:\vscode\graDes\housing-recommend-system\src\types\user.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 3, 17
"d:\vscode\graDes\housing-recommend-system\src\uni.scss", "SCSS", 0, 0, 38, 0, 0, 25, 13, 76
"d:\vscode\graDes\housing-recommend-system\src\utils\Date.ts", "TypeScript", 0, 22, 0, 0, 0, 10, 6, 38
"d:\vscode\graDes\housing-recommend-system\src\utils\Equipment.ts", "TypeScript", 0, 42, 0, 0, 0, 1, 10, 53
"d:\vscode\graDes\housing-recommend-system\src\utils\Measure.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 3, 16
"d:\vscode\graDes\housing-recommend-system\src\utils\Notification.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 10, 46
"d:\vscode\graDes\housing-recommend-system\src\utils\Num.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 2, 8
"d:\vscode\graDes\housing-recommend-system\src\utils\chat.ts", "TypeScript", 0, 54, 0, 0, 0, 1, 15, 70
