"filename", "language", "TypeScript", "Less", "JSON", "vue", "comment", "blank", "total"
"d:\vscode\graDes\housing-recommend-system\src\components\Appointment\AppointmentDetail.vue", "vue", 0, 0, 0, 1, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\components\Appointment\AppointmentHistory.vue", "vue", 0, 0, 0, 1, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\components\HouseService\AdditionalOrder.vue", "vue", 0, 0, 0, 212, 0, 28, 240
"d:\vscode\graDes\housing-recommend-system\src\components\HouseService\OrderServiceDetail.vue", "vue", 0, 0, 0, -4, 0, 3, -1
"d:\vscode\graDes\housing-recommend-system\src\components\HouseService\orderService.vue", "vue", 0, 0, 0, 0, 0, -4, -4
"d:\vscode\graDes\housing-recommend-system\src\components\public\NoMore.vue", "vue", 0, 0, 0, 38, 0, 4, 42
"d:\vscode\graDes\housing-recommend-system\src\components\public\Notis.vue", "vue", 0, 0, 0, 9, 0, 0, 9
"d:\vscode\graDes\housing-recommend-system\src\components\public\SwiperList.vue", "vue", 0, 0, 0, -1, 0, 1, 0
"d:\vscode\graDes\housing-recommend-system\src\components\user\Friend.vue", "vue", 0, 0, 0, 19, 0, 0, 19
"d:\vscode\graDes\housing-recommend-system\src\components\user\UserComment.vue", "vue", 0, 0, 0, -4, 4, 0, 0
"d:\vscode\graDes\housing-recommend-system\src\components\user\UserPost.vue", "vue", 0, 0, 0, 11, 0, 1, 12
"d:\vscode\graDes\housing-recommend-system\src\hooks\useNoti.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 11
"d:\vscode\graDes\housing-recommend-system\src\hooks\usePubSub.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\pages.json", "JSON", 0, 0, 41, 0, 0, 6, 47
"d:\vscode\graDes\housing-recommend-system\src\pages\AppointmentDetail.vue", "vue", 0, 0, 0, -255, -9, -4, -268
"d:\vscode\graDes\housing-recommend-system\src\pages\AppointmentPage.vue", "vue", 0, 0, 0, -156, 0, -11, -167
"d:\vscode\graDes\housing-recommend-system\src\pages\Appointment\AppointmentDetail.vue", "vue", 0, 0, 0, 260, 0, 7, 267
"d:\vscode\graDes\housing-recommend-system\src\pages\Appointment\AppointmentPage.vue", "vue", 0, 0, 0, 155, 0, 10, 165
"d:\vscode\graDes\housing-recommend-system\src\pages\Booking.vue", "vue", 0, 0, 0, 25, 0, 1, 26
"d:\vscode\graDes\housing-recommend-system\src\pages\HouseDetail.vue", "vue", 0, 0, 0, 21, 0, 4, 25
"d:\vscode\graDes\housing-recommend-system\src\pages\PostDetail.vue", "vue", 0, 0, 0, 0, 0, -1, -1
"d:\vscode\graDes\housing-recommend-system\src\pages\Process.vue", "vue", 0, 0, 0, 30, 0, 5, 35
"d:\vscode\graDes\housing-recommend-system\src\pages\PublishPost.vue", "vue", 0, 0, 0, 136, 0, 6, 142
"d:\vscode\graDes\housing-recommend-system\src\pages\Rent\Rent.vue", "vue", 0, 0, 0, 362, 0, 15, 377
"d:\vscode\graDes\housing-recommend-system\src\pages\booking\HouseBooking.vue", "vue", 0, 0, 0, 314, 0, 7, 321
"d:\vscode\graDes\housing-recommend-system\src\pages\booking\ServiceBooking.vue", "vue", 0, 0, 0, 299, 0, 13, 312
"d:\vscode\graDes\housing-recommend-system\src\pages\houseOrder\Order.vue", "vue", 0, 0, 0, 47, 0, 0, 47
"d:\vscode\graDes\housing-recommend-system\src\pages\houseOrder\OrderDetail.vue", "vue", 0, 0, 0, 11, 0, 4, 15
"d:\vscode\graDes\housing-recommend-system\src\pages\serviceDetail\serviceDetail.vue", "vue", 0, 0, 0, 6, 0, -1, 5
"d:\vscode\graDes\housing-recommend-system\src\pages\serviceOrder\Order.vue", "vue", 0, 0, 0, 38, 0, -1, 37
"d:\vscode\graDes\housing-recommend-system\src\pages\serviceOrder\OrderDetail.vue", "vue", 0, 0, 0, -1, 0, 1, 0
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Appointment.vue", "vue", 0, 0, 0, 6, 0, 3, 9
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Community.vue", "vue", 0, 0, 0, 285, 0, 3, 288
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\UserInfo.vue", "vue", 0, 0, 0, 1, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\pages\user\UserInfo.vue", "vue", 0, 0, 0, 306, 0, 8, 314
"d:\vscode\graDes\housing-recommend-system\src\service\ClientService.ts", "TypeScript", 12, 0, 0, 0, 0, 4, 16
"d:\vscode\graDes\housing-recommend-system\src\service\PostService.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"d:\vscode\graDes\housing-recommend-system\src\service\RentInfoService.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2
"d:\vscode\graDes\housing-recommend-system\src\service\UserSerivce.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 4
"d:\vscode\graDes\housing-recommend-system\src\types\Room.ts", "TypeScript", 35, 0, 0, 0, 0, 1, 36
"d:\vscode\graDes\housing-recommend-system\src\types\Service.ts", "TypeScript", 26, 0, 0, 0, 1, 2, 29
"d:\vscode\graDes\housing-recommend-system\src\types\post.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
