"filename", "language", "TypeScript", "vue", "JSON", "comment", "blank", "total"
"d:\vscode\graDes\housing-recommend-system\src\components\House\HouseCollection.vue", "vue", 0, 16, 0, 0, 0, 16
"d:\vscode\graDes\housing-recommend-system\src\components\House\HouseHistory.vue", "vue", 0, 5, 0, 0, 1, 6
"d:\vscode\graDes\housing-recommend-system\src\components\public\Tags.vue", "vue", 0, 4, 0, 0, 0, 4
"d:\vscode\graDes\housing-recommend-system\src\components\user\Friend.vue", "vue", 0, -1, 0, 0, 2, 1
"d:\vscode\graDes\housing-recommend-system\src\components\user\UserComment.vue", "vue", 0, 7, 0, 0, 0, 7
"d:\vscode\graDes\housing-recommend-system\src\components\user\UserPost.vue", "vue", 0, 18, 0, 0, 1, 19
"d:\vscode\graDes\housing-recommend-system\src\pages.json", "JSON", 0, 0, 11, 0, 3, 14
"d:\vscode\graDes\housing-recommend-system\src\pages\Appointment\AppointmentDetail.vue", "vue", 0, 5, 0, 0, 0, 5
"d:\vscode\graDes\housing-recommend-system\src\pages\Collection.vue", "vue", 0, 30, 0, 0, 4, 34
"d:\vscode\graDes\housing-recommend-system\src\pages\History.vue", "vue", 0, 30, 0, 0, 1, 31
"d:\vscode\graDes\housing-recommend-system\src\pages\HouseDetail.vue", "vue", 0, 18, 0, 0, -8, 10
"d:\vscode\graDes\housing-recommend-system\src\pages\PostDetail.vue", "vue", 0, -18, 0, 0, 9, -9
"d:\vscode\graDes\housing-recommend-system\src\pages\Process.vue", "vue", 0, 58, 0, 0, 2, 60
"d:\vscode\graDes\housing-recommend-system\src\pages\SimilarRoom.vue", "vue", 0, 46, 0, 0, 6, 52
"d:\vscode\graDes\housing-recommend-system\src\pages\booking\ServiceBooking.vue", "vue", 0, 1, 0, 0, 1, 2
"d:\vscode\graDes\housing-recommend-system\src\pages\houseOrder\OrderDetail.vue", "vue", 0, 5, 0, 0, 1, 6
"d:\vscode\graDes\housing-recommend-system\src\pages\serviceOrder\OrderDetail.vue", "vue", 0, 5, 0, 0, 0, 5
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Appointment.vue", "vue", 0, 39, 0, 0, 1, 40
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Community.vue", "vue", 0, -273, 0, 0, 2, -271
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\UserInfo.vue", "vue", 0, 7, 0, 0, 0, 7
"d:\vscode\graDes\housing-recommend-system\src\pages\user\UserInfo.vue", "vue", 0, -158, 0, 0, 1, -157
"d:\vscode\graDes\housing-recommend-system\src\service\PostService.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"d:\vscode\graDes\housing-recommend-system\src\service\UserSerivce.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"d:\vscode\graDes\housing-recommend-system\src\store\HouseAppointment.ts", "TypeScript", 32, 0, 0, 4, 3, 39
"d:\vscode\graDes\housing-recommend-system\src\types\Room.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"d:\vscode\graDes\housing-recommend-system\src\types\post.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"Total", "-", 46, -156, 11, 4, 33, -62
