"filename", "language", "TypeScript", "JSON", "vue", "comment", "blank", "total"
"d:\vscode\graDes\housing-recommend-system\src\App.vue", "vue", 0, 0, 0, 0, 1, 1
"d:\vscode\graDes\housing-recommend-system\src\api\config.ts", "TypeScript", -1, 0, 0, 0, 2, 1
"d:\vscode\graDes\housing-recommend-system\src\components\Navigation\OwnerHome.vue", "vue", 0, 0, 34, 0, 2, 36
"d:\vscode\graDes\housing-recommend-system\src\components\Tabbar.vue", "vue", 0, 0, 68, 0, 1, 69
"d:\vscode\graDes\housing-recommend-system\src\components\case\Case.vue", "vue", 0, 0, 53, 0, 1, 54
"d:\vscode\graDes\housing-recommend-system\src\data\cases.json", "JSON", 0, 82, 0, 0, 0, 82
"d:\vscode\graDes\housing-recommend-system\src\pages.json", "JSON", 0, 27, 0, 0, 5, 32
"d:\vscode\graDes\housing-recommend-system\src\pages\CaseDetail.vue", "vue", 0, 0, 168, 0, 3, 171
"d:\vscode\graDes\housing-recommend-system\src\pages\HouseDetail.vue", "vue", 0, 0, 1, 0, 0, 1
"d:\vscode\graDes\housing-recommend-system\src\pages\Lease.vue", "vue", 0, 0, 169, 0, 5, 174
"d:\vscode\graDes\housing-recommend-system\src\pages\Switch.vue", "vue", 0, 0, 67, 0, 3, 70
"d:\vscode\graDes\housing-recommend-system\src\pages\Tenantpages\Home.vue", "vue", 0, 0, 282, 0, 35, 317
"d:\vscode\graDes\housing-recommend-system\src\pages\Tenantpages\UserInfo.vue", "vue", 0, 0, 255, 0, 18, 273
"d:\vscode\graDes\housing-recommend-system\src\pages\ownerpages\Home.vue", "vue", 0, 0, 109, 0, 7, 116
"d:\vscode\graDes\housing-recommend-system\src\pages\ownerpages\userInfo.vue", "vue", 0, 0, 255, 0, 18, 273
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Appointment.vue", "vue", 0, 0, 2, 0, 0, 2
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Community.vue", "vue", 0, 0, 2, 0, 0, 2
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Home.vue", "vue", 0, 0, -257, 0, -25, -282
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\HomeContainer.vue", "vue", 0, 0, 27, 0, 5, 32
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\Service.vue", "vue", 0, 0, 2, 0, 0, 2
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\UserInfo.vue", "vue", 0, 0, -240, 0, -12, -252
"d:\vscode\graDes\housing-recommend-system\src\pages\tabbar\UserInfoContainer.vue", "vue", 0, 0, 27, 0, 5, 32
"d:\vscode\graDes\housing-recommend-system\src\pages\user\UserInfo.vue", "vue", 0, 0, 2, 0, 1, 3
"d:\vscode\graDes\housing-recommend-system\src\service\RoomService.ts", "TypeScript", 41, 0, 0, 6, 8, 55
"d:\vscode\graDes\housing-recommend-system\src\store\Tabbar.ts", "TypeScript", 13, 0, 0, 0, 3, 16
"d:\vscode\graDes\housing-recommend-system\src\tabbar.ts", "TypeScript", 47, 0, 0, 0, 5, 52
"d:\vscode\graDes\housing-recommend-system\src\types\Case.ts", "TypeScript", 11, 0, 0, 0, 1, 12
"d:\vscode\graDes\housing-recommend-system\src\utils\RecommendRecordHandler.ts", "TypeScript", 22, 0, 0, 5, 0, 27
"d:\vscode\graDes\housing-recommend-system\src\utils\array.ts", "TypeScript", 13, 0, 0, 1, 9, 23
"d:\vscode\graDes\housing-recommend-system\src\utils\localStorage.ts", "TypeScript", 4, 0, 0, 1, 0, 5
"Total", "-", 150, 109, 1026, 13, 101, 1399
