"filename", "language", "TypeScript", "Less", "SCSS", "JSON", "vue", "comment", "blank", "total"
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\App.vue", "vue", 0, 0, 0, 0, -29, 0, -9, -38
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\api\config.ts", "TypeScript", -9, 0, 0, 0, 0, -1, -4, -14
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\api\login.ts", "TypeScript", -47, 0, 0, 0, 0, -2, -3, -52
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\api\request.ts", "TypeScript", -73, 0, 0, 0, 0, 0, -11, -84
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\app.less", "Less", 0, -12, 0, 0, 0, 0, 0, -12
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Appointment\AppointmentBill.vue", "vue", 0, 0, 0, 0, -51, 0, -3, -54
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Appointment\AppointmentDetail.vue", "vue", 0, 0, 0, 0, -162, 0, -12, -174
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Appointment\AppointmentHistory.vue", "vue", 0, 0, 0, 0, -163, 0, -12, -175
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\FilterBar\Direction.vue", "vue", 0, 0, 0, 0, -60, 0, -1, -61
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\FilterBar\FilterBar.vue", "vue", 0, 0, 0, 0, -118, 0, -5, -123
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\FilterBar\House.vue", "vue", 0, 0, 0, 0, -106, 0, -4, -110
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\FilterBar\Location.vue", "vue", 0, 0, 0, 0, -208, 0, -18, -226
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\FilterBar\More.vue", "vue", 0, 0, 0, 0, -124, 0, -5, -129
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\FilterBar\Rent.vue", "vue", 0, 0, 0, 0, -75, 0, -2, -77
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\FilterBar\Sort.vue", "vue", 0, 0, 0, 0, -64, 0, -2, -66
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\FilterBar\SubmitBar.vue", "vue", 0, 0, 0, 0, -65, 0, -3, -68
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\HouseService\AdditionalOrder.vue", "vue", 0, 0, 0, 0, -212, 0, -28, -240
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\HouseService\HousingService.vue", "vue", 0, 0, 0, 0, -125, 0, -4, -129
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\HouseService\OrderServiceDetail.vue", "vue", 0, 0, 0, 0, -201, 0, -32, -233
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\HouseService\orderService.vue", "vue", 0, 0, 0, 0, -221, 0, -14, -235
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\House\HouseBillDetail.vue", "vue", 0, 0, 0, 0, -22, 0, -4, -26
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\House\HouseCollection.vue", "vue", 0, 0, 0, 0, -67, 0, -4, -71
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\House\HouseHistory.vue", "vue", 0, 0, 0, 0, -55, 0, -5, -60
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\House\HousePost.vue", "vue", 0, 0, 0, 0, -135, 0, -5, -140
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Navigation\Appointment.vue", "vue", 0, 0, 0, 0, -34, 0, -2, -36
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Navigation\AppointmentDetail.vue", "vue", 0, 0, 0, 0, -41, 0, -1, -42
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Navigation\AppointmentPage.vue", "vue", 0, 0, 0, 0, -41, 0, -1, -42
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Navigation\Community.vue", "vue", 0, 0, 0, 0, -34, 0, -2, -36
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Navigation\Home.vue", "vue", 0, 0, 0, 0, -73, 0, -5, -78
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Navigation\NavigationBar.vue", "vue", 0, 0, 0, 0, -60, 0, -5, -65
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Navigation\OrderDetail.vue", "vue", 0, 0, 0, 0, -41, 0, -1, -42
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Navigation\OwnerHome.vue", "vue", 0, 0, 0, 0, -34, 0, -2, -36
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Navigation\UserInfo.vue", "vue", 0, 0, 0, 0, -46, 0, -1, -47
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\components\Navigation\service.vue", "vue", 0, 0, 0, 0, -46, 0, -1, -47
