,id,city,district,road,community,price,rentalMethod,houseType,roomType,areaSize,decorateType,ori,floorInfo,hasRefrigerator,hasWashingMachine,hasBalcony,hasCook,hasAirConditioner,hasWaterHeater,hasBed,hasWardrobe,hasSofa,hasWifi,traffic,bedroomNum,bathroomNum,hallsNum
0,1,武汉,洪山,光谷软件园,曙光星城B区,800,合租,普通住宅,6室1厅2卫,25.0,精装修,朝南,中层(共35层),0,0,1,0,1,0,1,1,0,0,,6,2,1
1,2,武汉,洪山,光谷软件园,曙光星城C区,1800,整租,普通住宅,2室1厅1卫,70.0,豪华装修,朝南,低层(共35层),1,1,1,1,1,1,1,1,1,1,,2,1,1
2,3,武汉,洪山,光谷软件园,清江山水,3100,整租,普通住宅,3室2厅2卫,106.2,精装修,朝南,高层(共33层),1,1,1,1,1,1,1,1,1,1,,3,2,2
3,4,武汉,硚口,武胜路,丽景苑,800,合租,普通住宅,3室1厅2卫,20.0,简单装修,朝南,中层(共20层),1,1,1,1,1,1,1,1,1,1,1/6号线,3,2,1
4,5,武汉,硚口,崇仁路,宝丰巷4号62中宿舍,1900,整租,普通住宅,2室1厅1卫,55.0,简单装修,南北,高层(共7层),1,1,1,1,1,1,1,1,1,1,1/2/6号线,2,1,1
5,6,武汉,洪山,欢乐谷,铁机新居,1400,整租,普通住宅,2室1厅1卫,96.0,精装修,南北,低层(共33层),1,1,1,1,1,1,1,1,1,0,,2,1,1
6,7,武汉,洪山,白沙洲,正商金域世家,700,合租,普通住宅,3室1厅2卫,28.0,精装修,朝南,低层(共28层),1,1,1,1,1,1,1,1,1,1,,3,2,1
7,8,武汉,洪山,关山,保利时代(南区),3400,整租,普通住宅,3室2厅1卫,97.2,精装修,朝南,低层(共33层),1,1,1,1,1,1,1,1,1,1,,3,1,2
8,9,武汉,洪山,铁机路,V7星公馆,500,合租,普通住宅,2室1厅2卫,22.0,精装修,朝南,高层(共32层),1,1,1,1,1,1,1,1,1,1,4/8号线,2,2,1
9,10,武汉,洪山,白沙洲,正商金域世家,650,合租,其他,3室1厅2卫,25.0,简单装修,朝南,高层(共35层),1,1,1,1,1,1,1,1,1,1,,3,2,1
10,11,武汉,江汉,唐家墩,顶琇国际城,800,合租,普通住宅,3室1厅2卫,15.0,精装修,朝南,高层(共11层),1,1,1,1,1,1,1,1,1,1,6号线,3,2,1
11,12,武汉,洪山,光谷软件园,中建康城(东区),800,合租,普通住宅,4室1厅2卫,18.0,精装修,朝南,高层(共33层),0,1,0,0,1,1,1,1,0,1,,4,2,1
12,13,武汉,洪山,关山,保利时代(北区),3300,整租,其他,3室2厅1卫,110.5,精装修,朝南,高层(共33层),1,1,1,1,1,1,1,1,1,1,,3,1,2
13,14,武汉,洪山,铁机路,东湖尚郡,500,合租,普通住宅,3室1厅1卫,20.0,简单装修,朝南,高层(共31层),1,1,1,1,1,1,0,1,1,1,4/8号线,3,1,1
14,15,武汉,江岸,百步亭,幸福湾星澜,600,合租,普通住宅,3室2厅2卫,25.0,精装修,朝南,中层(共33层),1,1,1,1,1,1,1,1,1,1,1/阳逻号线,3,2,2
15,16,武汉,洪山,铁机路,恒庆花园,600,合租,平房,2室1厅1卫,20.0,简单装修,朝南,中层(共18层),1,1,1,1,1,1,1,1,1,1,5号线,2,1,1
16,17,武汉,江岸,江汉路,吉祥大厦,900,合租,普通住宅,3室1厅2卫,25.0,精装修,朝南,中层(共22层),1,1,1,1,1,1,1,1,1,1,1/2/6号线,3,2,1
17,18,武汉,洪山,关山,光谷8号(商住楼),2800,整租,公寓,1室1厅1卫,40.1,精装修,朝南,中层(共18层),1,1,1,1,1,1,1,1,1,1,2号线,1,1,1
18,19,武汉,东西湖,吴家山,黄狮海湾,1800,整租,普通住宅,2室2厅1卫,75.0,精装修,南北,低层(共33层),1,1,1,1,1,1,1,1,1,1,6号线,2,1,2
19,20,武汉,洪山,光谷软件园,曙光星城B区,2300,整租,普通住宅,2室1厅1卫,80.0,精装修,朝南,中层(共33层),1,1,1,1,1,1,1,1,1,1,,2,1,1
20,21,武汉,洪山,光谷软件园,曙光星城C区,1400,整租,普通住宅,1室1厅1卫,40.0,精装修,朝南,高层(共33层),1,1,1,1,1,1,1,1,1,1,,1,1,1
21,22,武汉,硚口,崇仁路,弘玉花园金玉华庭,880,合租,普通住宅,3室1厅2卫,28.0,精装修,朝南,中层(共21层),1,1,1,1,1,1,1,1,1,1,1号线,3,2,1
22,23,武汉,洪山,光谷东,光谷188国际社区,790,合租,普通住宅,3室1厅1卫,16.0,精装修,朝南,高层(共35层),1,1,0,1,1,1,1,1,1,1,11号线,3,1,1
