id,city,district,road,community,rentalMethod,houseType,roomType,areaSize,decorateType,ori,rentTimeInfo,floorInfo,hasRefrigerator,hasWashingMachine,hasBalcony,hasCook,hasAirConditioner,hasWaterHeater,hasBed,hasWardrobe,hasSofa,hasWifi,traffic,bedroomNum,bathroomNum,hallsNum,page_views,price
"1","武汉","洪山","光谷软件园","曙光星城B区","合租","普通住宅","6室1厅2卫","26","精装修","朝南",\N,"中层(共35层)","0","0","1","0","1","0","1","1","0","0",\N,"6","2","1","0","1000"
"2","武汉","洪山","光谷软件园","曙光星城C区","整租","普通住宅","2室1厅1卫","70","豪华装修","朝南",\N,"低层(共35层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","1","13762","1800"
"3","武汉","洪山","光谷软件园","清江山水","整租","普通住宅","3室2厅2卫","106.2","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2","94545","3100"
"4","武汉","硚口","武胜路","丽景苑","合租","普通住宅","3室1厅2卫","20","简单装修","朝南",\N,"中层(共20层)","1","1","1","1","1","1","1","1","1","1","1/6号线","3","2","1","37842","800"
"5","武汉","硚口","崇仁路","宝丰巷4号62中宿舍","整租","普通住宅","2室1厅1卫","55","简单装修","南北",\N,"高层(共7层)","1","1","1","1","1","1","1","1","1","1","1/2/6号线","2","1","1","77849","1900"
"6","武汉","洪山","欢乐谷","铁机新居","整租","普通住宅","2室1厅1卫","96","精装修","南北",\N,"低层(共33层)","1","1","1","1","1","1","1","1","1","0",\N,"2","1","1","32114","1400"
"7","武汉","洪山","白沙洲","正商金域世家","合租","普通住宅","3室1厅2卫","28","精装修","朝南",\N,"低层(共28层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","1","36187","700"
"8","武汉","洪山","关山","保利时代(南区)","整租","普通住宅","3室2厅1卫","97.2","精装修","朝南",\N,"低层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","2","65366","3400"
"9","武汉","洪山","铁机路","V7星公馆","合租","普通住宅","2室1厅2卫","22","精装修","朝南",\N,"高层(共32层)","1","1","1","1","1","1","1","1","1","1","4/8号线","2","2","1","43561","500"
"10","武汉","洪山","白沙洲","正商金域世家","合租","其他","3室1厅2卫","25","简单装修","朝南",\N,"高层(共35层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","1","33541","650"
"11","武汉","江汉","唐家墩","顶琇国际城","合租","普通住宅","3室1厅2卫","15","精装修","朝南",\N,"高层(共11层)","1","1","1","1","1","1","1","1","1","1","6号线","3","2","1","82882","800"
"13","武汉","洪山","关山","保利时代(北区)","整租","其他","3室2厅1卫","110.5","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","2","906","3300"
"14","武汉","洪山","铁机路","东湖尚郡","合租","普通住宅","3室1厅1卫","20","简单装修","朝南",\N,"高层(共31层)","1","1","1","1","1","1","0","1","1","1","4/8号线","3","1","1","98323","500"
"15","武汉","江岸","百步亭","幸福湾星澜","合租","普通住宅","3室2厅2卫","25","精装修","朝南",\N,"中层(共33层)","1","1","1","1","1","1","1","1","1","1","1/阳逻号线","3","2","2","23060","600"
"16","武汉","洪山","铁机路","恒庆花园","合租","平房","2室1厅1卫","20","简单装修","朝南",\N,"中层(共18层)","1","1","1","1","1","1","1","1","1","1","5号线","2","1","1","18187","600"
"17","武汉","江岸","江汉路","吉祥大厦","合租","普通住宅","3室1厅2卫","25","精装修","朝南",\N,"中层(共22层)","1","1","1","1","1","1","1","1","1","1","1/2/6号线","3","2","1","55595","900"
"18","武汉","洪山","关山","光谷8号(商住楼)","整租","公寓","1室1厅1卫","40.1","精装修","朝南",\N,"中层(共18层)","1","1","1","1","1","1","1","1","1","1","2号线","1","1","1","20233","2800"
"19","武汉","东西湖","吴家山","黄狮海湾","整租","普通住宅","2室2厅1卫","75","精装修","南北",\N,"低层(共33层)","1","1","1","1","1","1","1","1","1","1","6号线","2","1","2","20918","1800"
"20","武汉","洪山","光谷软件园","曙光星城B区","整租","普通住宅","2室1厅1卫","80","精装修","朝南",\N,"中层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","1","41488","2300"
"21","武汉","洪山","光谷软件园","曙光星城C区","整租","普通住宅","1室1厅1卫","40","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","1","81663","1400"
"22","武汉","硚口","崇仁路","弘玉花园金玉华庭","合租","普通住宅","3室1厅2卫","28","精装修","朝南",\N,"中层(共21层)","1","1","1","1","1","1","1","1","1","1","1号线","3","2","1","80012","880"
"23","武汉","洪山","光谷东","光谷188国际社区","合租","普通住宅","3室1厅1卫","16","精装修","朝南",\N,"高层(共35层)","1","1","0","1","1","1","1","1","1","1","11号线","3","1","1","44600","790"
"24","武汉","洪山","白沙洲","保利上城西区","合租","公寓","3室1厅1卫","16","豪华装修","朝南",\N,"低层(共21层)","1","1","1","1","1","1","1","1","1","1","5号线","3","1","1","26028","730"
"25","武汉","洪山","街道口","群光上苑","合租","普通住宅","1室1厅1卫","25","精装修","朝南",\N,"低层(共30层)","1","1","1","1","1","1","1","1","1","1","2/8号线","1","1","1","57770","800"
"26","武汉","洪山","光谷软件园","中建大公馆","合租","普通住宅","3室2厅1卫","15","精装修","朝南",\N,"高层(共50层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","2","40961","700"
"27","武汉","洪山","光谷东","光谷澎湃城奥山府","整租","普通住宅","3室2厅2卫","118.9","简单装修","朝南",\N,"低层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2","36044","2500"
"28","武汉","洪山","光谷广场","加州阳光","整租","普通住宅","3室2厅1卫","103","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","1","2","56372","3100"
"29","武汉","武昌","南湖花园","景虹花园(二期)","合租","普通住宅","3室1厅2卫","20.5","精装修","朝南",\N,"低层(共22层)","1","1","1","1","1","1","1","1","1","1","7号线","3","2","1","60584","600"
"30","武汉","洪山","光谷软件园","曙光星城C区","合租","普通住宅","4室1厅2卫","18","精装修","朝南",\N,"高层(共36层)","0","1","0","0","1","1","1","1","0","1",\N,"4","2","1","3860","800"
"31","武汉","洪山","光谷软件园","曙光星城B区","合租","普通住宅","3室1厅1卫","20","精装修","朝南",\N,"中层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","1","87356","700"
